UID	Product_ID	Review_ID	Review_Text	Processed_Text	TextBlob	Vader	API	Matched_token	Theme
343	40114261	241	I did like this product quality issue	do like product quality issue	NEUTRAL	POSITIVE	NEGATIVE	issue	quality
344	40114261	241	I did like this product quality issue	do like product quality issue	NEUTRAL	POSITIVE	NEGATIVE	quality	quality
345	40114261	241	I did like this product quality issue	do like product quality issue	NEUTRAL	POSITIVE	NEGATIVE	do	operational_effectiveness
346	40114261	242	good product 	good product	POSITIVE	POSITIVE	POSITIVE	No match	No match
347	40186127	243	 very small size	very small size	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
348	40186127	244	 very good product	very good product	POSITIVE	POSITIVE	POSITIVE	No match	No match
349	40186127	245	Has scratches, disappointed The pan has scratches	have scratch disappoint pan have scratch	NEUTRAL	NEGATIVE	NEUTRAL	scratch	quality
350	40186127	246	 very small size	very small size	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
351	40186127	247	 very good product	very good product	POSITIVE	POSITIVE	POSITIVE	No match	No match
352	40186127	248	Has scratches, disappointed The pan has scratches	have scratch disappoint pan have scratch	NEUTRAL	NEGATIVE	NEUTRAL	scratch	quality
353	40009195	249	 It is not induction friendly. So I want to return it.	not induction friendly want return	POSITIVE	NEGATIVE	NEUTRAL	return	shipping_delivery
354	40009195	249	 It is not induction friendly. So I want to return it.	not induction friendly want return	POSITIVE	NEGATIVE	NEUTRAL	want	quality
355	40009195	249	 It is not induction friendly. So I want to return it.	not induction friendly want return	POSITIVE	NEGATIVE	NEUTRAL	induction	operational_effectiveness
356	40009195	250	clip not given bad quality	clip not give bad quality	NEGATIVE	POSITIVE	NEGATIVE	bad	quality
357	40009195	250	clip not given bad quality	clip not give bad quality	NEGATIVE	POSITIVE	NEGATIVE	quality	quality
358	40009195	251	bad Bad colaty	bad bad colaty	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
359	40009195	252	 very good	very good	POSITIVE	POSITIVE	POSITIVE	No match	No match
360	40009209	253	poor quality teflon coating very bad quality product. removing the sticker that is on the pan surface, removed the teflon coating. u can imagine how poor the quality of the teflon coating is. We returned this product for a refund.	poor quality teflon coat very bad quality product remove sticker pan surface remove teflon coat can imagine poor quality teflon coat return product refund	NEGATIVE	NEGATIVE	NEGATIVE	can	shipping_delivery
361	40009209	253	poor quality teflon coating very bad quality product. removing the sticker that is on the pan surface, removed the teflon coating. u can imagine how poor the quality of the teflon coating is. We returned this product for a refund.	poor quality teflon coat very bad quality product remove sticker pan surface remove teflon coat can imagine poor quality teflon coat return product refund	NEGATIVE	NEGATIVE	NEGATIVE	return	shipping_delivery
362	40009209	253	poor quality teflon coating very bad quality product. removing the sticker that is on the pan surface, removed the teflon coating. u can imagine how poor the quality of the teflon coating is. We returned this product for a refund.	poor quality teflon coat very bad quality product remove sticker pan surface remove teflon coat can imagine poor quality teflon coat return product refund	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
363	40009209	253	poor quality teflon coating very bad quality product. removing the sticker that is on the pan surface, removed the teflon coating. u can imagine how poor the quality of the teflon coating is. We returned this product for a refund.	poor quality teflon coat very bad quality product remove sticker pan surface remove teflon coat can imagine poor quality teflon coat return product refund	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
364	40009209	254	 too small	too small	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
365	40009209	255	 nice product	nice product	POSITIVE	POSITIVE	POSITIVE	No match	No match
366	40009209	256	 Ok	ok	POSITIVE	POSITIVE	POSITIVE	No match	No match
367	40009199	257	 Best quality	best quality	POSITIVE	POSITIVE	POSITIVE	quality	quality
368	40009199	258	 Excellent product	excellent product	POSITIVE	POSITIVE	POSITIVE	No match	No match
369	40009199	259	 I want to return the product. It doesn't have flat surface.	want return product do not have flat surface	NEUTRAL	POSITIVE	NEGATIVE	return	shipping_delivery
370	40009199	259	 I want to return the product. It doesn't have flat surface.	want return product do not have flat surface	NEUTRAL	POSITIVE	NEGATIVE	want	quality
371	40009199	259	 I want to return the product. It doesn't have flat surface.	want return product do not have flat surface	NEUTRAL	POSITIVE	NEGATIVE	do	operational_effectiveness
372	40009199	260	 nice good	nice good	POSITIVE	POSITIVE	POSITIVE	No match	No match
373	40014038	261	 It's seems to have quality issues and there are scratches as well as marks on the backside of the pan. Not a new one but a refurbished one. I have been using Futura for years and this quality is not up to mark.	seem have quality issue scratch well mark backside pan not new one but refurbish one have use futura years quality not up mark	NEGATIVE	POSITIVE	NEGATIVE	issue	quality
374	40014038	261	 It's seems to have quality issues and there are scratches as well as marks on the backside of the pan. Not a new one but a refurbished one. I have been using Futura for years and this quality is not up to mark.	seem have quality issue scratch well mark backside pan not new one but refurbish one have use futura years quality not up mark	NEGATIVE	POSITIVE	NEGATIVE	mark	quality
375	40014038	261	 It's seems to have quality issues and there are scratches as well as marks on the backside of the pan. Not a new one but a refurbished one. I have been using Futura for years and this quality is not up to mark.	seem have quality issue scratch well mark backside pan not new one but refurbish one have use futura years quality not up mark	NEGATIVE	POSITIVE	NEGATIVE	quality	quality
376	40014038	261	 It's seems to have quality issues and there are scratches as well as marks on the backside of the pan. Not a new one but a refurbished one. I have been using Futura for years and this quality is not up to mark.	seem have quality issue scratch well mark backside pan not new one but refurbish one have use futura years quality not up mark	NEGATIVE	POSITIVE	NEGATIVE	scratch	quality
377	40014038	261	 It's seems to have quality issues and there are scratches as well as marks on the backside of the pan. Not a new one but a refurbished one. I have been using Futura for years and this quality is not up to mark.	seem have quality issue scratch well mark backside pan not new one but refurbish one have use futura years quality not up mark	NEGATIVE	POSITIVE	NEGATIVE	use	operational_effectiveness
378	40014038	262	 good product	good product	POSITIVE	POSITIVE	POSITIVE	No match	No match
379	40014038	263	Great Pan American s nice will only be able to give my view after using for two/three more months because previous experience with non stick cookware has not been good.	great pan american s nice only able give view use two three more months previous experience non stick cookware have not good	POSITIVE	POSITIVE	NEUTRAL	use	operational_effectiveness
380	40014038	264	 expected bigger one	expect bigger one	NEUTRAL	NEUTRAL	POSITIVE	bigger	operational_effectiveness
381	40104348	265	 nice product	nice product	POSITIVE	POSITIVE	POSITIVE	No match	No match
382	40083793	266	Doesn't last even a month. Awful experience. The pan started leaving the non stick coating in less than a month. Extremely disappointed. Avoid this id you can!	do not last even month awful experience pan start leave non stick coat less than month extremely disappoint avoid id can	NEGATIVE	NEGATIVE	NEGATIVE	can	shipping_delivery
383	40083793	266	Doesn't last even a month. Awful experience. The pan started leaving the non stick coating in less than a month. Extremely disappointed. Avoid this id you can!	do not last even month awful experience pan start leave non stick coat less than month extremely disappoint avoid id can	NEGATIVE	NEGATIVE	NEGATIVE	last	quality
384	40083793	266	Doesn't last even a month. Awful experience. The pan started leaving the non stick coating in less than a month. Extremely disappointed. Avoid this id you can!	do not last even month awful experience pan start leave non stick coat less than month extremely disappoint avoid id can	NEGATIVE	NEGATIVE	NEGATIVE	do	operational_effectiveness
385	40009190	267	 Useless donâ€™t buy.Not working on induction.	useless don t buy not work induction	NEGATIVE	NEGATIVE	NEGATIVE	induction	operational_effectiveness
386	40009190	267	 Useless donâ€™t buy.Not working on induction.	useless don t buy not work induction	NEGATIVE	NEGATIVE	NEGATIVE	work	operational_effectiveness
387	40009190	268	 Useless donâ€™t buy.Not working on induction.	useless don t buy not work induction	NEGATIVE	NEGATIVE	NEGATIVE	induction	operational_effectiveness
388	40009190	268	 Useless donâ€™t buy.Not working on induction.	useless don t buy not work induction	NEGATIVE	NEGATIVE	NEGATIVE	work	operational_effectiveness
389	40009195	269	 It is not induction friendly. So I want to return it.	not induction friendly want return	POSITIVE	NEGATIVE	NEUTRAL	return	shipping_delivery
390	40009195	269	 It is not induction friendly. So I want to return it.	not induction friendly want return	POSITIVE	NEGATIVE	NEUTRAL	want	quality
391	40009195	269	 It is not induction friendly. So I want to return it.	not induction friendly want return	POSITIVE	NEGATIVE	NEUTRAL	induction	operational_effectiveness
392	40009195	270	clip not given bad quality	clip not give bad quality	NEGATIVE	POSITIVE	NEGATIVE	bad	quality
393	40009195	270	clip not given bad quality	clip not give bad quality	NEGATIVE	POSITIVE	NEGATIVE	quality	quality
394	40009195	271	bad Bad colaty	bad bad colaty	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
395	40009195	272	 very good	very good	POSITIVE	POSITIVE	POSITIVE	No match	No match
396	40009199	273	 Best quality	best quality	POSITIVE	POSITIVE	POSITIVE	quality	quality
397	40009199	274	 Excellent product	excellent product	POSITIVE	POSITIVE	POSITIVE	No match	No match
398	40009199	275	 I want to return the product. It doesn't have flat surface.	want return product do not have flat surface	NEUTRAL	POSITIVE	NEGATIVE	return	shipping_delivery
399	40009199	275	 I want to return the product. It doesn't have flat surface.	want return product do not have flat surface	NEUTRAL	POSITIVE	NEGATIVE	want	quality
400	40009199	275	 I want to return the product. It doesn't have flat surface.	want return product do not have flat surface	NEUTRAL	POSITIVE	NEGATIVE	do	operational_effectiveness
401	40009199	276	 nice good	nice good	POSITIVE	POSITIVE	POSITIVE	No match	No match
402	40014038	277	 It's seems to have quality issues and there are scratches as well as marks on the backside of the pan. Not a new one but a refurbished one. I have been using Futura for years and this quality is not up to mark.	seem have quality issue scratch well mark backside pan not new one but refurbish one have use futura years quality not up mark	NEGATIVE	POSITIVE	NEGATIVE	issue	quality
403	40014038	277	 It's seems to have quality issues and there are scratches as well as marks on the backside of the pan. Not a new one but a refurbished one. I have been using Futura for years and this quality is not up to mark.	seem have quality issue scratch well mark backside pan not new one but refurbish one have use futura years quality not up mark	NEGATIVE	POSITIVE	NEGATIVE	mark	quality
404	40014038	277	 It's seems to have quality issues and there are scratches as well as marks on the backside of the pan. Not a new one but a refurbished one. I have been using Futura for years and this quality is not up to mark.	seem have quality issue scratch well mark backside pan not new one but refurbish one have use futura years quality not up mark	NEGATIVE	POSITIVE	NEGATIVE	quality	quality
405	40014038	277	 It's seems to have quality issues and there are scratches as well as marks on the backside of the pan. Not a new one but a refurbished one. I have been using Futura for years and this quality is not up to mark.	seem have quality issue scratch well mark backside pan not new one but refurbish one have use futura years quality not up mark	NEGATIVE	POSITIVE	NEGATIVE	scratch	quality
406	40014038	277	 It's seems to have quality issues and there are scratches as well as marks on the backside of the pan. Not a new one but a refurbished one. I have been using Futura for years and this quality is not up to mark.	seem have quality issue scratch well mark backside pan not new one but refurbish one have use futura years quality not up mark	NEGATIVE	POSITIVE	NEGATIVE	use	operational_effectiveness
407	40014038	278	 good product	good product	POSITIVE	POSITIVE	POSITIVE	No match	No match
408	40014038	279	Great Pan American s nice will only be able to give my view after using for two/three more months because previous experience with non stick cookware has not been good.	great pan american s nice only able give view use two three more months previous experience non stick cookware have not good	POSITIVE	POSITIVE	NEUTRAL	use	operational_effectiveness
409	40014038	280	 expected bigger one	expect bigger one	NEUTRAL	NEUTRAL	POSITIVE	bigger	operational_effectiveness
410	40104348	281	 nice product	nice product	POSITIVE	POSITIVE	POSITIVE	No match	No match
411	40083793	282	Doesn't last even a month. Awful experience. The pan started leaving the non stick coating in less than a month. Extremely disappointed. Avoid this id you can!	do not last even month awful experience pan start leave non stick coat less than month extremely disappoint avoid id can	NEGATIVE	NEGATIVE	NEGATIVE	can	shipping_delivery
412	40083793	282	Doesn't last even a month. Awful experience. The pan started leaving the non stick coating in less than a month. Extremely disappointed. Avoid this id you can!	do not last even month awful experience pan start leave non stick coat less than month extremely disappoint avoid id can	NEGATIVE	NEGATIVE	NEGATIVE	last	quality
413	40083793	282	Doesn't last even a month. Awful experience. The pan started leaving the non stick coating in less than a month. Extremely disappointed. Avoid this id you can!	do not last even month awful experience pan start leave non stick coat less than month extremely disappoint avoid id can	NEGATIVE	NEGATIVE	NEGATIVE	do	operational_effectiveness
414	40086872	283	 poor product. it's not non stick, it's a sticky 1.	poor product not non stick sticky	NEGATIVE	NEGATIVE	NEGATIVE	No match	No match
415	40086872	284	 Very small size	very small size	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
416	40086872	285	Return the pan 0 out of 5 kindly return the same The coating removed on first attempt	return pan 0 kindly return same coat remove first attempt	POSITIVE	POSITIVE	NEUTRAL	return	shipping_delivery
417	40086872	286	 Very bad quality, nonstick coated paint is gone	very bad quality nonstick coat paint go	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
418	40086872	286	 Very bad quality, nonstick coated paint is gone	very bad quality nonstick coat paint go	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
419	40086872	287	 not at all nonstick. egg sticks to it and it's horribly difficult to get it out of the ears. no shape gets maintained. don't but it at all	not nonstick egg stick horribly difficult get ears no shape get maintain do not but	NEGATIVE	NEGATIVE	NEGATIVE	do	operational_effectiveness
420	40086872	288	very cheap quality product worst money 	very cheap quality product worst money	NEGATIVE	NEGATIVE	NEGATIVE	cheap	price
421	40086872	288	very cheap quality product worst money 	very cheap quality product worst money	NEGATIVE	NEGATIVE	NEGATIVE	money	price
422	40086872	288	very cheap quality product worst money 	very cheap quality product worst money	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
423	40086872	289	 Not so impressive	not impressive	NEGATIVE	NEGATIVE	POSITIVE	No match	No match
424	40009190	290	 Useless don't buy.Not working on induction.	useless do not buy not work induction	NEGATIVE	NEGATIVE	NEGATIVE	do	operational_effectiveness
425	40009190	290	 Useless don't buy.Not working on induction.	useless do not buy not work induction	NEGATIVE	NEGATIVE	NEGATIVE	induction	operational_effectiveness
426	40009190	290	 Useless don't buy.Not working on induction.	useless do not buy not work induction	NEGATIVE	NEGATIVE	NEGATIVE	work	operational_effectiveness
